strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	dataUseTerms	dataUseTerms__url	region	country	clades	old_nomenclature	insertion	author	accession	division
USA/PP_004F7QC.1/2017-04	2017-04-01 (2017-04-01 - 2017-04-27)	PP_004F7QC.1	https://pathoplexus.org/seq/PP_004F7QC.1	PV796911.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796911.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7QC	Pittsburgh
USA/PP_004F4D4.1/2017-05	2017-05-09 (2017-05-01 - 2017-05-31)	PP_004F4D4.1	https://pathoplexus.org/seq/PP_004F4D4.1	PV796798.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796798.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4D4	Pittsburgh
USA/PP_004F84J.1/2017-05	2017-05-31 (2017-05-05 - 2017-05-31)	PP_004F84J.1	https://pathoplexus.org/seq/PP_004F84J.1	PV796925.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796925.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F84J	Pittsburgh
USA/PP_004F7PE.1/2017-04	2017-04-01 (2017-04-01 - 2017-04-27)	PP_004F7PE.1	https://pathoplexus.org/seq/PP_004F7PE.1	PV796910.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796910.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7PE	Pittsburgh
USA/PP_004F7U4.1/2017-04	2017-04-01 (2017-04-01 - 2017-04-27)	PP_004F7U4.1	https://pathoplexus.org/seq/PP_004F7U4.1	PV796915.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796915.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7U4	Pittsburgh
USA/PP_004F7HS.1/2017-03	2017-03-31 (2017-03-05 - 2017-03-31)	PP_004F7HS.1	https://pathoplexus.org/seq/PP_004F7HS.1	PV796904.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796904.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7HS	Pittsburgh
USA/PP_004F82N.1/2017-05	2017-05-01 (2017-05-01 - 2017-05-28)	PP_004F82N.1	https://pathoplexus.org/seq/PP_004F82N.1	PV796923.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796923.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F82N	Pittsburgh
Australia/PP_002JE63.2/2017-03-31	2017-03-31	PP_002JE63.2	https://pathoplexus.org/seq/PP_002JE63.2	OP904049.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904049.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	A2.2.2	A2b2	True	Tulloch, R. L.; Eden, J.-S.	PP_002JE63	
USA/PP_004F7MJ.1/2017-04	2017-04-07 (2017-04-01 - 2017-04-30)	PP_004F7MJ.1	https://pathoplexus.org/seq/PP_004F7MJ.1	PV796908.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796908.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7MJ	Pittsburgh
USA/PP_0049JMK.1/2017-04-05	2017-04-05	PP_0049JMK.1	https://pathoplexus.org/seq/PP_0049JMK.1	PX444080.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444080.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Lauring, A. S.; Papalambros, L. K.	PP_0049JMK	
USA/PP_004F4E2.1/2017-05	2017-05-01 (2017-05-01 - 2017-05-28)	PP_004F4E2.1	https://pathoplexus.org/seq/PP_004F4E2.1	PV796799.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796799.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4E2	Pittsburgh
USA/PP_002EXL0.1/2016-02-22	2016-02-22	PP_002EXL0.1	https://pathoplexus.org/seq/PP_002EXL0.1	KY474532.1	https://www.ncbi.nlm.nih.gov/nuccore/KY474532.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Dehority, W. N.; Kennedy, J. L.; Denson, J. L.; Schwalm, K. C.; Dinwiddie, D. L.	PP_002EXL0	Albuquerque
USA/PP_004F4QF.1/2018-01	2018-01-31 (2018-01-04 - 2018-01-31)	PP_004F4QF.1	https://pathoplexus.org/seq/PP_004F4QF.1	PV796809.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796809.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4QF	Pittsburgh
USA/PP_004F4C6.1/2017-04	2017-04-01 (2017-04-01 - 2017-04-27)	PP_004F4C6.1	https://pathoplexus.org/seq/PP_004F4C6.1	PV796797.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796797.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4C6	Pittsburgh
USA/PP_004F4GY.1/2017-11	2017-11-12 (2017-11-01 - 2017-11-30)	PP_004F4GY.1	https://pathoplexus.org/seq/PP_004F4GY.1	PV796801.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796801.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4GY	Pittsburgh
USA/PP_004F4YZ.1/2018-02	2018-02-24 (2018-02-01 - 2018-02-28)	PP_004F4YZ.1	https://pathoplexus.org/seq/PP_004F4YZ.1	PV796817.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796817.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4YZ	Pittsburgh
USA/PP_004F4HV.1/2017-11	2017-11-01 (2017-11-01 - 2017-11-26)	PP_004F4HV.1	https://pathoplexus.org/seq/PP_004F4HV.1	PV796802.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796802.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4HV	Pittsburgh
USA/PP_004F4U7.1/2018-02	2018-02-28 (2018-02-04 - 2018-02-28)	PP_004F4U7.1	https://pathoplexus.org/seq/PP_004F4U7.1	PV796813.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796813.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F4U7	Pittsburgh
USA/PP_004F48E.1/2017-04	2017-04-30 (2017-04-04 - 2017-04-30)	PP_004F48E.1	https://pathoplexus.org/seq/PP_004F48E.1	PV796793.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796793.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F48E	Pittsburgh
USA/PP_004F9ZS.1/2020-02	2020-02-01 (2020-02-01 - 2020-02-26)	PP_004F9ZS.1	https://pathoplexus.org/seq/PP_004F9ZS.1	PV796988.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796988.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9ZS	Pittsburgh
USA/PP_004F60U.1/2019-03	2019-03-31 (2019-03-04 - 2019-03-31)	PP_004F60U.1	https://pathoplexus.org/seq/PP_004F60U.1	PV796853.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796853.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F60U	Pittsburgh
Australia/PP_002JFHD.2/2017-08-06	2017-08-06	PP_002JFHD.2	https://pathoplexus.org/seq/PP_002JFHD.2	OP904094.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904094.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	A2.2.2	A2b2	True	Tulloch, R. L.; Eden, J.-S.	PP_002JFHD	
USA/PP_004F42S.1/2017-03	2017-03-03 (2017-03-01 - 2017-03-31)	PP_004F42S.1	https://pathoplexus.org/seq/PP_004F42S.1	PV796787.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796787.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F42S	Pittsburgh
China/PP_00486WF.1/2017-03-06	2017-03-06	PP_00486WF.1	https://pathoplexus.org/seq/PP_00486WF.1	PV218173.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218173.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	A2.2.2	A2b2	False	Kang, L.; Wang, L.; Huang, F.	PP_00486WF	Beijing
China/PP_00486XD.1/2017-03-08	2017-03-08	PP_00486XD.1	https://pathoplexus.org/seq/PP_00486XD.1	PV218174.1	https://www.ncbi.nlm.nih.gov/nuccore/PV218174.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	China	A2.2.2	A2b2	False	Kang, L.; Wang, L.; Huang, F.	PP_00486XD	Beijing
Australia/PP_002H4FX.2/2017-09-16	2017-09-16	PP_002H4FX.2	https://pathoplexus.org/seq/PP_002H4FX.2	MW221989.1	https://www.ncbi.nlm.nih.gov/nuccore/MW221989.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	A2.2.2	A2b2	True	Tulloch, R. L.; Kok, J.; Carter, I.; Dwyer, D. E.; Eden, J. S.; Eden, J.-S.	PP_002H4FX	
Australia/PP_002JFFJ.2/2017-09-16	2017-09-16	PP_002JFFJ.2	https://pathoplexus.org/seq/PP_002JFFJ.2	OP904092.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904092.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	A2.2.2	A2b2	True	Tulloch, R. L.; Eden, J.-S.	PP_002JFFJ	
USA/PP_002K1QB.1/2019-12-30	2019-12-30	PP_002K1QB.1	https://pathoplexus.org/seq/PP_002K1QB.1	PP947649.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947649.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K1QB	Washington
USA/PP_002KEM4.1/2024-01-07	2024-01-07	PP_002KEM4.1	https://pathoplexus.org/seq/PP_002KEM4.1	PV252977.1	https://www.ncbi.nlm.nih.gov/nuccore/PV252977.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_002KEM4	Washington
USA/PP_003205H.1/2023-02-21	2023-02-21	PP_003205H.1	https://pathoplexus.org/seq/PP_003205H.1	PX048921.1	https://www.ncbi.nlm.nih.gov/nuccore/PX048921.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_003205H	Washington
USA/PP_002KGL4.1/2023-01-29	2023-01-29	PP_002KGL4.1	https://pathoplexus.org/seq/PP_002KGL4.1	PV498547.1	https://www.ncbi.nlm.nih.gov/nuccore/PV498547.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_002KGL4	Oregon
USA/PP_0049GNK.1/2023-03-30	2023-03-30	PP_0049GNK.1	https://pathoplexus.org/seq/PP_0049GNK.1	PX444013.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444013.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Lauring, A. S.; Papalambros, L. K.	PP_0049GNK	
USA/PP_004F5D3.1/2018-04	2018-04-01 (2018-04-01 - 2018-04-27)	PP_004F5D3.1	https://pathoplexus.org/seq/PP_004F5D3.1	PV796832.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796832.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F5D3	Pittsburgh
USA/PP_0049JLM.1/2016-03-18	2016-03-18	PP_0049JLM.1	https://pathoplexus.org/seq/PP_0049JLM.1	PX444079.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444079.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Lauring, A. S.; Papalambros, L. K.	PP_0049JLM	
USA/PP_004F7GV.1/2017-03	2017-03-31 (2017-03-04 - 2017-03-31)	PP_004F7GV.1	https://pathoplexus.org/seq/PP_004F7GV.1	PV796903.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796903.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F7GV	Pittsburgh
USA/PP_0049JNH.1/2018-03-09	2018-03-09	PP_0049JNH.1	https://pathoplexus.org/seq/PP_0049JNH.1	PX444081.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444081.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Lauring, A. S.; Papalambros, L. K.	PP_0049JNH	
USA/PP_0049FTA.1/2022-12-13	2022-12-13	PP_0049FTA.1	https://pathoplexus.org/seq/PP_0049FTA.1	PX443984.1	https://www.ncbi.nlm.nih.gov/nuccore/PX443984.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Lauring, A. S.; Papalambros, L. K.	PP_0049FTA	
USA/PP_002YUSN.1/2023-04-02	2023-04-02	PP_002YUSN.1	https://pathoplexus.org/seq/PP_002YUSN.1	PV763183.1	https://www.ncbi.nlm.nih.gov/nuccore/PV763183.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_002YUSN	Oregon
USA/PP_002YVUH.1/2023-04-02	2023-04-02	PP_002YVUH.1	https://pathoplexus.org/seq/PP_002YVUH.1	PV763227.1	https://www.ncbi.nlm.nih.gov/nuccore/PV763227.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_002YVUH	Oregon
USA/PP_002K1WZ.1/2020-02-24	2020-02-24	PP_002K1WZ.1	https://pathoplexus.org/seq/PP_002K1WZ.1	PP947655.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947655.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K1WZ	Washington
USA/PP_004F9C1.1/2019-04	2019-04-30 (2019-04-04 - 2019-04-30)	PP_004F9C1.1	https://pathoplexus.org/seq/PP_004F9C1.1	PV796967.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796967.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9C1	Pittsburgh
USA/PP_004F8YV.1/2019-03	2019-03-31 (2019-03-07 - 2019-03-31)	PP_004F8YV.1	https://pathoplexus.org/seq/PP_004F8YV.1	PV796953.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796953.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F8YV	Pittsburgh
USA/PP_002KFDL.1/2019-04	2019-04-03 (2019-04-01 - 2019-04-30)	PP_002KFDL.1	https://pathoplexus.org/seq/PP_002KFDL.1	PV383327.1	https://www.ncbi.nlm.nih.gov/nuccore/PV383327.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Rangachar Srinivasa, V.; Griffith, M.; Sundermann, A.; Mills, E.; Raabe, N. J.; Shutt, K. A.; Phan, T.; Wang-Erickson, A.; Marsh, J.; Snyder, G.; Van Tyne, D.; Pless, L.; Harrison, L. H.; Waggle, K.	PP_002KFDL	Pittsburgh
USA/PP_002KFUP.1/2019-04	2019-04-01 (2019-04-01 - 2019-04-26)	PP_002KFUP.1	https://pathoplexus.org/seq/PP_002KFUP.1	PV383342.1	https://www.ncbi.nlm.nih.gov/nuccore/PV383342.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Rangachar Srinivasa, V.; Griffith, M.; Sundermann, A.; Mills, E.; Raabe, N. J.; Shutt, K. A.; Phan, T.; Wang-Erickson, A.; Marsh, J.; Snyder, G.; Van Tyne, D.; Pless, L.; Harrison, L. H.; Waggle, K.	PP_002KFUP	Pittsburgh
USA/PP_004FA7A.1/2020-03	2020-03-31 (2020-03-04 - 2020-03-31)	PP_004FA7A.1	https://pathoplexus.org/seq/PP_004FA7A.1	PV796996.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796996.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004FA7A	Pittsburgh
USA/PP_004F5SA.1/2019-02	2019-02-01 (2019-02-01 - 2019-02-25)	PP_004F5SA.1	https://pathoplexus.org/seq/PP_004F5SA.1	PV796845.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796845.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F5SA	Pittsburgh
USA/PP_002K982.1/2019-11-21	2019-11-21	PP_002K982.1	https://pathoplexus.org/seq/PP_002K982.1	PQ634955.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634955.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K982	Washington
USA/PP_004F6A8.1/2019-04	2019-04-01 (2019-04-01 - 2019-04-27)	PP_004F6A8.1	https://pathoplexus.org/seq/PP_004F6A8.1	PV796863.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796863.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	A2.2.2	A2b2	True	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6A8	Pittsburgh
