strain	date	clade	region	country	host	author	accession	accession__url
ON022552	2019-02-24	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022552	https://www.ncbi.nlm.nih.gov/nuccore/ON022552
MZ604841	2019-01-01 (2019-01-01 - 2019-09-25)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604841	https://www.ncbi.nlm.nih.gov/nuccore/MZ604841
OP508696	2020-01-06	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508696	https://www.ncbi.nlm.nih.gov/nuccore/OP508696
OP508681	2020-04-22	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508681	https://www.ncbi.nlm.nih.gov/nuccore/OP508681
MZ712141	2021-02-03	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712141	https://www.ncbi.nlm.nih.gov/nuccore/MZ712141
OP508663	2021-02-22	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508663	https://www.ncbi.nlm.nih.gov/nuccore/OP508663
OP508700	2020-01-20	Clade VI	South America	Brazil	Alouatta guariba clamitans	Giovanetti et al.	OP508700	https://www.ncbi.nlm.nih.gov/nuccore/OP508700
OP508678	2021-04-28	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508678	https://www.ncbi.nlm.nih.gov/nuccore/OP508678
OP508698	2021-05-02	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508698	https://www.ncbi.nlm.nih.gov/nuccore/OP508698
OP508671	2021-04-13	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508671	https://www.ncbi.nlm.nih.gov/nuccore/OP508671
MZ712148	2021-02-22	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712148	https://www.ncbi.nlm.nih.gov/nuccore/MZ712148
MZ712147	2021-02-22	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712147	https://www.ncbi.nlm.nih.gov/nuccore/MZ712147
MZ712129	2021-02-22	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712129	https://www.ncbi.nlm.nih.gov/nuccore/MZ712129
MZ712138	2021-03-03	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712138	https://www.ncbi.nlm.nih.gov/nuccore/MZ712138
MZ712131	2021-02-19	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712131	https://www.ncbi.nlm.nih.gov/nuccore/MZ712131
OP508691	2021-02-19	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508691	https://www.ncbi.nlm.nih.gov/nuccore/OP508691
MZ712133	2021-02-25	Clade VI	South America	Brazil	Alouatta guariba clamitans	Andrade et al.	MZ712133	https://www.ncbi.nlm.nih.gov/nuccore/MZ712133
OP508690	2021-04-09	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508690	https://www.ncbi.nlm.nih.gov/nuccore/OP508690
OP508702	2021-04-11	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508702	https://www.ncbi.nlm.nih.gov/nuccore/OP508702
OP508680	2021-05-04	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508680	https://www.ncbi.nlm.nih.gov/nuccore/OP508680
